"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1799","Проверка вопросов о важном","tests","2025-10-03","passed","2025-10-03","TestQuestions","test_questions","",""
"","1703","Проверка вопросов о важном","tests","2025-10-03","passed","2025-10-03","TestQuestions","test_questions","",""
"","5039","Проверка кнопок заказа","tests","2025-10-03","broken","2025-10-03","TestOrder","test_order","",""
"","3368","Проверка кнопок заказа","tests","2025-10-03","passed","2025-10-03","TestOrder","test_order","",""
"","3998","Проверка логотипа Самоката","tests","2025-10-03","passed","2025-10-03","TestOrder","test_order","",""
"","1723","Проверка вопросов о важном","tests","2025-10-03","passed","2025-10-03","TestQuestions","test_questions","",""
"","1932","Проверка вопросов о важном","tests","2025-10-03","passed","2025-10-03","TestQuestions","test_questions","",""
"","2037","Проверка вопросов о важном","tests","2025-10-03","passed","2025-10-03","TestQuestions","test_questions","",""
"","2200","Проверка вопросов о важном","tests","2025-10-03","passed","2025-10-03","TestQuestions","test_questions","",""
"","1770","Проверка вопросов о важном","tests","2025-10-03","passed","2025-10-03","TestQuestions","test_questions","",""
"","2049","Проверка вопросов о важном","tests","2025-10-03","passed","2025-10-03","TestQuestions","test_questions","",""
